anime_id,numberofviews,popularity
11013,6268,231
2104,5620,366
5262,2211,1173
721,2089,916
12365,4726,426
6586,1037,1630
178,823,2490
2787,7754,332
4477,3929,988
853,14436,69
4814,3782,799
7054,11877,71
1557,1226,1793
11123,2747,945
14227,11019,88
269,9085,18
59,10477,188
6045,9989,111
1735,4312,20
8632,27,7721
210,3065,623
4224,19859,13
10030,5640,374
74,2132,1291
4722,5196,488
14397,3194,757
34083,2,13287
10800,4446,348
3731,5287,473
9513,4937,208
5835,957,1654
9863,2248,646
7817,7528,285
120,8705,222
957,1628,1313
1974,448,2523
857,6969,297
1914,865,2233
249,7382,141
6645,1500,1858
5690,3220,995
1571,4311,527
11759,8401,103
10250,3,11377
7674,7806,172
1698,5431,381
14713,5285,259
232,6711,292
233,466,3045
15771,1281,1690
9656,7024,322
9926,3508,701
2564,558,3214
3092,4702,568
1579,2684,1138
32370,1805,795
34152,729,2044
153,1912,1016
27417,582,2721
1051,1338,1950
12447,221,3977
1381,133,6165
8022,160,4119
32666,2,12944
33775,251,2963
812,757,2600
12695,1033,2312
14353,4587,637
5235,11,9003
26443,1540,1025
16251,5,9879
36847,234,2533
32561,995,2146
24275,6,8668
1811,89,6716
9721,251,4398
8986,459,2509
7791,8510,183
747,1098,2808
11009,210,4395
8726,1169,1826
15813,352,3511
33462,414,3130
1586,172,6326
11769,791,2624
3675,31,8226
20057,3028,468
30347,1610,1245
18893,2398,821
35334,74,5092
36755,33,7015
2199,192,4822
34561,2396,347
238,1555,1730
27989,3805,367
36838,710,1724
1200,38,4956
24031,1984,1035
3975,4,10281
10935,212,4512
22273,2375,856
32063,85,5473
33337,1346,1064
34350,1116,1135
36982,73,5286
534,3170,949
32032,1044,1133
30694,1840,278
14355,1201,1842
5821,5,11023
11827,403,3031
35240,1358,922
10197,1150,2572
15279,90,7323
1587,325,3394
10588,3969,479
6922,5141,609
6702,9103,19
34975,3,7208
19841,916,2514
24641,381,3193
24021,89,5915
5199,210,4616
22225,449,2460
33274,141,4141
146,2125,1601
32805,100,5036
21267,520,3880
221,948,2820
1483,227,3338
32518,73,5651
1640,997,2980
35314,260,2973
7082,1264,1561
35952,4,9179
10521,5117,516
36766,5,13880
3335,33,6820
594,4145,1360
2520,945,2783
4130,793,2833
27727,1101,1415
2617,209,5184
33094,1789,1020
1220,530,3895
209,1947,1471
33358,1,11339
30721,647,2200
28369,6,9968
9509,30,8760
3844,4,9958
31699,3,10937
7593,8196,224
7411,814,2596
30450,9,9732
35139,3,11317
1388,151,5705
22,2469,806
1016,1267,2150
2051,60,7736
7155,9,9795
34943,12,9408
34430,208,3781
31972,13,11021
10244,1,12763
26349,4909,440
2762,189,4412
32792,293,3012
15809,12700,51
3627,1023,2470
33126,3,10247
2205,662,3333
15819,27,8196
17535,1636,1572
1151,416,3722
2025,12262,61
15125,1301,1715
7193,2632,724
13585,1811,1518
25441,18,7663
1969,300,4302
3813,9,9736
8518,114,6529
808,239,5181
6890,111,6992
35507,3506,354
4250,42,8951
9074,3536,855
1379,1521,1922
2476,11345,145
19871,14,7352
18,2028,1261
5060,4291,464
5322,58,8342
546,372,3890
33915,1,12048
34644,109,4813
6653,59,7490
2618,201,3959
35982,133,5187
1921,297,4080
9754,502,3504
29830,121,5058
459,3161,1392
790,6674,161
31486,61,6499
4918,2284,1592
33095,1211,1107
1149,329,4384
3747,201,5194
10218,3571,796
19383,1412,1547
14837,3555,903
5041,821,2055
6707,7194,213
236,481,3310
34438,118,2181
1488,262,3812
34818,48,5846
33985,802,1321
9515,7193,454
24873,1707,972
5984,804,2199
7435,19,8170
12191,263,3113
33018,647,1130
64,5419,554
11061,7913,35
23623,2112,921
4537,36,8527
32983,1619,1038
32122,569,3165
33028,2111,703
5682,4306,373
382,1365,2440
13373,296,5950
821,767,2806
7176,136,6254
1726,6731,371
8277,3802,712
3429,353,4633
21681,1559,1150
28211,658,1850
254,524,3729
8062,231,5042
37104,12,7324
865,39,6266
19363,3099,967
799,126,5159
560,436,3556
30952,175,4136
1124,333,4498
2171,1005,2404
6337,126,5346
34498,369,1633
1837,146,5291
8769,12152,110
4124,131,6043
1562,4096,813
880,2251,1565
35889,850,1189
1469,1234,2235
2155,470,3058
22831,149,4372
19391,983,2003
4554,10,9228
31747,14,10266
5162,2407,1513
3737,342,4793
2281,380,4404
19255,240,3986
36520,52,8257
2264,117,6618
8241,831,2256
1925,125,5686
10384,170,4295
14995,121,5415
5163,1222,2274
23837,100,7155
32380,3314,711
9806,14,7262
2145,187,5475
1744,327,3546
33051,1013,1438
835,243,4369
831,575,2914
1609,939,2993
1910,140,5127
6172,749,2888
11569,50,7621
20125,2,12084
2463,6,9100
1450,138,4116
13807,2796,1077
9999,1346,2132
34037,1,13898
30010,20,8730
1122,2911,1399
2224,86,6247
26023,813,2100
3464,1306,2085
8132,47,7546
33183,39,7635
4050,46,7340
798,245,3886
11793,297,4425
16035,2854,617
26085,846,2322
37115,1,13590
15611,238,3427
780,1532,1970
25567,531,2865
399,123,6393
12445,5773,317
35473,36,7254
35370,265,4236
28913,16,9044
242,1166,2282
1454,889,1681
10905,120,5968
23831,293,3792
1686,9159,455
1774,104,7003
33743,1962,610
9834,2335,1250
33769,90,5190
34323,4,9557
36519,10,8844
3016,604,2924
6336,1005,1481
11465,91,6194
33820,116,5165
8628,78,8684
139,2812,1145
16009,3540,529
12471,1597,1219
3448,155,4835
956,19,7850
1366,1207,2192
4536,6,9548
3889,223,5238
34595,4,13793
7655,1236,1985
877,5905,262
32083,1093,1177
370,324,4179
1429,157,5727
32625,77,4624
8855,18,8779
1161,118,5169
10923,304,4681
28237,8,10961
2559,399,2528
2722,100,5734
33255,1943,580
21395,39,7814
1644,58,7820
28927,5523,200
17249,112,4356
6954,2320,1372
5909,4382,632
1565,1976,1259
8407,5448,408
36825,27,7950
2164,1863,902
646,123,6015
1216,468,4244
3091,3506,944
31397,106,4941
1846,211,4239
11763,732,2013
1026,123,6139
801,3916,545
6112,814,2429
33286,753,1155
7266,176,5091
29829,125,4951
25963,6,11512
2985,1487,1538
5678,2803,814
4061,65,7473
34392,832,1712
17211,1,10007
13261,355,2709
34008,22,4703
25265,26,9159
6582,167,4699
510,123,5301
16894,7064,153
709,413,2999
2488,381,3481
219,597,3525
16890,1617,1113
193,2929,1154
34939,90,5747
2004,172,4009
33687,36,7183
4879,855,1705
13937,96,5871
35417,50,5085
1085,428,3809
35330,1281,883
10278,2226,850
37031,98,4343
282,252,3477
3738,286,5446
19569,117,5704
12059,322,3709
31617,17,5666
2616,233,6406
31797,169,3407
34799,30,6797
7782,704,3470
8917,1312,1421
1622,431,4464
35002,3,12658
32189,2327,584
33086,2,12355
28669,136,4163
166,2982,973
35118,115,4539
20031,4831,336
295,199,4739
2146,91,7634
2334,39,8538
24793,10,10429
23725,402,3063
12879,811,2947
16201,2240,766
28891,5757,171
28247,6,9852
35677,6,3214
10302,337,4150
836,601,2898
3457,11530,154
10532,571,3562
9857,18,9515
12979,669,1767
50,4111,769
18677,3564,495
34785,3,13787
5233,949,2452
1769,145,5707
24921,374,2738
1012,74,7908
5023,10,8407
3251,2,10640
1370,395,4761
17,666,2967
22417,18,10644
32557,5,12105
35078,501,1831
1416,253,4647
9981,1682,1061
1691,6927,254
523,11664,118
4150,73,7855
30851,7,10268
6641,174,6590
1942,201,4648
125,1220,2250
31426,54,7732
4196,1776,1678
9810,9,10609
34198,2,11201
18743,4,11272
1913,990,2332
1142,3134,1148
16738,133,6363
8799,2,11219
1884,85,7062
31338,2295,514
23985,162,4853
8302,1171,2512
23755,9213,52
24,6893,347
813,13366,70
3031,692,3183
6802,2604,810
3906,58,6754
36636,4,12593
24833,7619,59
10719,10851,101
11795,68,8809
7265,126,5406
33566,74,5836
5153,33,7248
33164,260,3327
21437,1607,1433
30191,838,1940
1028,256,4079
14817,246,3758
9260,3077,392
7152,61,4994
770,2530,1529
1222,4234,528
8934,2260,1052
14989,31,5467
19961,5,10787
27525,1583,1208
2075,2,9642
6312,86,7019
21473,1134,1746
1088,1497,1367
90,3520,845
9014,1059,2223
20555,1099,1412
25687,2112,1085
1404,80,7539
998,612,2790
27821,5425,526
7062,722,2777
33378,6,4590
2245,95,5988
6392,1101,3209
36542,32,7036
14289,7256,192
936,6281,714
32281,11161,33
3044,260,4213
30921,16,7758
32568,1,9991
30355,921,2177
20423,1034,2522
602,42,7399
1364,1353,1991
539,1420,2062
18295,2238,1200
10838,424,3793
2038,71,6556
15649,422,3569
31,5004,699
7551,7,10410
2704,59,6197
2928,787,2878
2253,173,3997
6795,501,3357
2037,115,5041
21195,291,3146
5918,133,6213
2129,5279,586
5643,112,6012
32982,72,6630
15411,581,3020
5941,1732,1167
6418,197,4971
3059,95,6344
12067,457,3465
8664,16,9038
293,657,3218
9493,401,3318
757,203,5240
7311,9088,181
1731,1828,1753
1333,29,9276
1681,1201,2116
20969,50,6704
144,1686,1594
23987,372,3144
10491,1981,1431
576,1210,2296
6758,953,1684
4437,5745,667
512,7664,340
8958,14,10896
130,732,2507
1462,1554,1519
12231,1542,1680
2595,1229,2191
21899,399,2773
12875,358,3098
32665,3,10367
28735,2075,590
16,4128,500
302,515,2531
23835,78,7895
689,346,4989
28833,704,1387
5002,9,9330
333,73,6317
241,3614,871
21639,238,2231
574,82,6332
33170,103,6398
33487,4684,220
15961,5,10151
14653,1297,1860
1669,1871,1906
1650,268,3096
13267,491,2890
509,1461,2183
15583,8539,104
751,40,6413
1883,67,7574
1033,2618,1041
4535,2175,1511
1371,113,4791
33454,7,9807
527,9001,214
18465,1319,1915
2249,169,5708
6347,10110,129
32648,2014,736
1933,52,8135
180,2706,1316
379,2595,1053
34238,241,4405
36497,74,4555
17867,194,4179
46,2126,1856
32936,728,1389
24821,368,3205
7904,29,7209
34102,694,1044
17635,344,3659
25969,6,12005
31683,617,3459
22319,15142,6
1194,562,3077
10807,217,3324
1096,554,2998
11371,1052,1854
25875,186,5192
1601,648,2037
4657,323,3388
28977,2498,383
21031,93,6689
708,71,5475
825,696,3739
1034,700,2399
1549,97,6267
9723,473,3711
2125,340,4112
34881,2787,492
6463,26,5302
33729,248,3641
91,1497,1992
34005,3,13187
6987,3366,1184
36094,357,2225
1891,37,8015
27887,163,5131
8490,292,4595
32454,288,4083
4874,719,3738
2619,170,4992
13057,194,4537
7211,1,11458
32071,999,1888
8195,4,11199
34481,473,3396
416,3585,877
35180,1183,990
19365,1548,917
1132,3534,908
2267,315,4428
11533,1,10986
987,2104,1743
15605,2099,894
31741,2350,512
1569,2071,1573
732,2429,1536
2246,2187,664
997,1794,1959
18139,2966,690
2621,112,5961
9362,942,2829
519,800,2756
2571,460,4750
37032,19,7582
28221,903,1525
21201,408,4220
16405,635,3073
30030,15,7603
33541,69,6585
21743,1452,1105
339,6175,224
8181,24,8842
31631,26,3580
10562,5,10125
7761,20,7501
18679,10915,28
30892,3,11396
1457,248,3568
779,1758,1852
177,5182,505
30454,86,5973
35839,1471,765
23581,11,9688
21179,19,9142
25541,1,11754
275,1030,2915
3784,7054,295
3665,261,3620
2307,91,6623
16419,230,3675
34126,1089,1345
2165,32,6353
3918,579,3252
4534,17,8974
2138,144,5354
2059,30,8505
280,20,7129
1699,3130,740
32365,1226,1701
11103,590,3584
16067,5083,195
760,980,2852
28625,914,1587
317,9352,500
5054,92,6144
32271,582,1056
8995,455,2872
32951,3791,287
19067,52,4927
32999,7,10323
8894,301,4232
303,720,2841
744,115,5719
958,361,3352
5419,459,4142
23213,170,4900
34051,1040,1109
34537,407,2300
31838,21,7407
8560,1114,2392
4085,17,8528
16021,2,12201
30300,1963,1196
18153,9353,75
16656,366,4118
33981,80,5698
2200,37,6734
1276,184,4807
8635,198,5279
34618,2674,440
4729,47,8185
1719,2612,1554
2227,156,5669
1481,129,6534
23775,987,1580
17549,3678,395
3010,389,4390
31377,11,10201
33027,78,4534
8955,3,10407
4550,1649,1909
8206,159,4267
32961,241,2563
8410,308,3375
34984,1433,882
34013,68,5835
16742,7352,150
30625,15,8056
12437,313,3958
19697,568,2761
2036,64,6652
3661,23,8767
5841,1,10980
5369,429,4594
4101,5,9319
103,271,3812
35472,49,6911
24211,1714,1354
94,2939,1097
31143,758,2525
385,622,2171
1777,172,5863
32670,2,8743
24913,1070,2208
31178,348,2565
6783,325,3610
248,3553,1066
5762,522,3053
1961,469,3191
3974,1765,1312
9624,1453,1743
36245,432,1881
11441,630,2913
29846,1,10594
35206,20,8030
2288,174,5004
11735,51,7577
32214,559,2017
3642,270,5226
9136,2173,1108
17080,302,3103
7044,1035,2257
24713,414,4461
2518,53,6632
3011,667,3789
31592,554,2050
33529,2,13797
27829,1522,913
31378,701,1997
9884,23,6816
33113,156,3010
1243,683,2462
34741,1,9662
2929,87,5711
16664,1677,1106
2851,56,8175
28779,254,4024
31402,33,6941
33835,1,11771
6726,130,5869
6205,5949,432
935,2202,1070
3762,16,9505
531,2061,1783
1926,145,6916
25689,325,3341
25939,469,2953
17681,613,2588
36784,93,5470
1770,79,7215
944,578,2964
14813,10884,74
441,1183,2224
32087,8,10316
3015,345,3934
34855,672,2309
21421,393,3188
1368,531,3647
623,81,5536
5947,1257,2535
12069,1139,2258
31404,4027,307
538,1232,2315
7785,2696,421
10790,6446,293
4522,31,9217
325,2130,1362
8539,6,10455
35363,1413,1498
1807,759,2762
9741,800,2984
9203,1158,2234
7222,886,2663
1135,488,3851
33779,8,10825
23301,445,3123
6512,6489,462
5554,5,9804
31763,642,1818
15781,194,5636
19401,14,8328
1177,631,2703
1408,529,4025
1005,471,3690
2688,47,6381
2289,51,7264
3407,1681,1271
11785,4630,363
1098,357,4158
9907,843,3213
5504,691,2702
2999,58,7664
36049,945,1347
4264,73,5065
3745,141,6052
10465,889,1712
9600,86,6894
332,70,6366
8626,150,6839
2882,68,7726
6574,1796,1546
19945,160,4917
5940,3544,811
22239,5,11076
3932,8,9292
10765,153,4848
932,456,4522
10378,1855,1388
5080,561,4008
33589,459,2052
5583,338,5098
7588,1287,1507
31780,292,4739
10845,327,4030
1337,24,6520
33605,408,1927
261,596,3509
4664,337,4069
27741,109,5044
23699,1,11584
930,102,4092
17391,551,3297
20613,257,5868
10196,1101,2602
10728,78,6850
25099,2328,682
22865,2465,820
15979,103,5257
616,27,7028
752,468,4483
27683,3,12571
35382,489,2384
5784,721,2555
1919,121,5827
10260,340,3460
4017,44,8064
31139,294,4185
145,3135,702
8800,227,5248
2107,2210,1832
34893,18,7119
28817,1152,1326
37710,12,9032
32366,828,1979
673,637,3692
13411,2643,1238
3713,2073,1131
1826,234,3175
22585,1,11757
6896,1810,1910
20853,4533,326
1723,5188,749
4451,48,8049
4936,150,5876
33478,747,1213
2404,4166,815
208,2419,1590
25365,188,5437
22503,2,10661
11235,3111,911
36545,38,6727
18097,214,2988
152,744,2583
14231,28,8971
17371,256,4374
32888,5,8805
17113,26,8149
30382,191,3041
12699,153,5696
31181,3312,393
24459,1145,2082
3808,8,10121
1289,166,4857
82,1204,2124
10568,4212,494
2515,486,3803
2696,66,7244
2698,76,6712
33803,118,5001
34979,16,9099
7583,139,5771
8546,30,8618
498,110,5869
6181,40,8699
8357,1,11189
11341,458,3226
33209,151,4244
30103,46,8603
17821,1126,1722
6199,127,6172
2757,40,7994
13271,2106,1283
20385,11,9519
18639,52,6811
8098,364,3693
34312,73,6361
27633,2142,1146
17469,1,11656
21419,542,2751
18121,882,2610
1874,356,5200
5525,4179,552
16381,141,5860
1937,66,7934
2363,1009,2788
34870,125,6053
2782,273,4206
54,2969,1425
32039,256,4031
5945,225,3649
8491,174,5135
1014,217,5192
6075,18,9062
6344,486,3533
33104,29,7566
13643,68,7091
10217,162,4546
424,262,3300
164,14286,79
605,98,5025
855,2806,959
18231,131,5534
13115,853,1868
8364,66,7288
670,1375,2022
718,225,5007
35434,541,1816
2712,5,10962
25055,105,6025
13391,1579,1297
2030,989,1857
18195,2594,901
21479,36,7528
30379,391,3226
384,6160,355
2684,256,4529
11113,2260,1629
2786,43,7022
5052,16,8615
12343,60,6823
32041,13,9932
31829,15,8427
7643,5,7552
33190,257,2665
1500,344,4389
31318,1351,1027
1117,6035,885
903,3527,1171
35069,288,2994
36846,2,14139
33021,295,3832
1056,346,4993
917,429,3768
7148,4229,684
31804,1124,1460
2229,374,3430
2490,1626,2483
17679,215,4725
4056,54,6920
1725,244,5273
32410,99,4222
117,526,3411
8756,366,3718
1864,165,4251
6773,3977,490
31499,216,2623
1935,198,3849
10050,195,5594
585,4589,648
551,693,2836
690,745,2343
33511,98,2691
31091,1080,2035
6902,14,7277
329,2337,599
25143,366,3316
6882,925,3323
3023,17,8458
2680,1314,2693
4929,11,9073
23605,409,2074
19877,10,8505
126,963,2379
7248,192,5327
14407,1825,1287
12867,91,6273
869,857,3130
3087,2796,1248
4038,600,2059
33197,679,1889
24695,1057,2241
1707,289,3929
13215,98,5536
28077,143,6755
10207,58,8432
8362,97,6624
33046,403,2328
2212,200,4878
27947,329,2164
1803,145,6229
13403,2315,1373
4188,839,2556
1413,188,5246
2563,1151,2389
24909,168,4018
24373,7,10640
133,4417,935
2400,180,4337
18495,828,1922
4033,368,4154
603,662,2470
34262,900,1343
2238,716,3124
3692,140,4921
31410,3,9440
6676,1928,1542
1902,386,4722
360,146,5199
278,219,4242
30751,34,8409
431,15130,89
14181,9,10712
2758,12,9142
411,1601,1465
30091,1132,1062
34825,890,1389
1660,81,5620
2336,502,4019
36101,5,13043
27911,756,2254
18343,237,4077
4209,162,5132
10048,80,5855
2870,277,4926
33278,2,10815
375,184,4984
33490,50,6792
3258,106,5991
33758,9,8732
23989,298,3462
23555,2,10100
10659,1172,2108
13125,6062,114
2017,215,5068
28249,3468,352
1816,1578,1871
256,4969,828
2771,12,8251
23353,1,12097
15905,6,9075
17815,242,6079
4765,781,2828
3271,63,7430
3836,56,7706
13331,3126,807
8909,232,4575
8563,1,10041
33498,9,10540
526,316,3828
3313,43,8234
34373,2,13094
1156,339,4266
9366,2992,1212
35805,18,7543
9855,38,7975
17115,636,2749
5097,536,3699
4415,1607,1776
24531,355,3216
467,5659,273
36692,11,8000
17643,939,2653
2207,90,7132
33087,3,7675
34830,9,3860
21435,466,3000
3549,885,2030
31927,157,4189
1365,1477,1833
10547,562,3728
1490,147,4176
6872,64,7184
12347,57,6997
1292,5528,449
21431,4659,357
746,2030,1967
8514,2713,1528
6637,3970,847
1709,3001,1579
33362,207,3719
5204,4733,746
8324,4,10762
37044,13,8132
12899,1,11058
1572,155,5281
34280,3332,317
30066,6,10846
33038,13,5232
17895,7111,124
1729,694,3137
1621,95,7591
2042,281,4253
25345,283,3404
5908,7,10222
10359,23,6215
1082,281,3671
1582,103,6840
33712,2,4104
15613,1682,1114
31174,1241,887
34771,42,4642
6920,586,2866
13709,709,2106
2019,55,7531
1832,141,5820
2333,80,6212
12549,5202,302
36291,14,8584
22961,2145,1120
3605,35,8721
5088,9,9841
898,3883,1099
272,2130,1067
9598,898,2616
11751,1610,1280
2449,887,2207
15201,1162,1410
30825,222,4869
3673,700,2359
27567,36,7611
8728,994,2551
31845,1526,731
8630,5940,324
22335,357,4399
33247,59,6502
9212,5,10778
980,96,5676
37505,131,5120
24705,1681,929
3065,30,8538
28227,101,5535
34915,176,3539
35285,56,5265
26055,3711,400
3003,149,6681
23233,4613,243
32601,389,2789
6701,4,11062
841,693,2944
1090,789,2862
1211,466,3673
1930,172,5435
21835,104,4110
12055,338,3764
15989,535,3608
1329,56,7031
15437,2625,1165
99,1906,1765
36234,1,13970
32696,1212,1253
1973,58,7381
32323,437,2123
29513,547,3289
5114,18133,4
6288,1916,1706
16331,391,4728
35712,1162,940
22031,14,9483
9865,354,3730
19959,14,10105
32735,67,6444
12671,721,2735
1023,2364,1671
9288,225,5269
34006,3,3547
34497,2029,557
1254,2612,899
19257,491,2361
25,2065,1008
929,78,4787
1021,265,3792
18391,27,8047
23787,342,3877
17437,564,2996
668,428,3425
2095,29,8693
32816,41,7433
31417,352,2792
20371,846,1999
30757,108,3206
31588,946,1309
1604,5149,173
12877,80,6717
4548,1952,947
22043,3575,120
30230,1138,1384
456,421,3172
34647,377,4155
33419,179,4002
31807,11,11033
3077,20,6661
25161,1510,1711
7712,150,5614
25973,19,11370
31111,37,8784
635,530,3304
1848,36,6883
13239,296,4446
32175,823,1691
1030,1816,1658
34611,212,5450
36777,5,5244
6479,1137,2849
13283,463,3516
27927,353,3563
10216,1816,1488
4985,1148,2447
529,2323,1202
1361,4305,1365
33929,1011,1468
5645,49,7489
10504,390,3594
36491,17,8480
35333,1,3159
32423,143,4764
4066,472,3057
29807,110,5455
36502,73,4782
28121,9470,62
2273,1950,1744
6213,7111,220
5020,531,3363
2824,35,9090
4200,150,5577
9940,68,7807
19159,494,3502
12037,7,11066
33474,2,11165
334,804,2102
31980,844,2435
116,491,3505
36823,80,6104
5914,1028,2202
6050,560,2901
895,3695,1233
1591,417,3655
604,287,4188
2927,2664,1214
2237,856,3062
3430,348,4320
32574,549,2659
31414,1551,893
137,2768,1198
6993,68,8503
1047,1150,2842
597,4971,719
15811,761,2633
32740,332,3474
24625,601,2400
3604,918,2533
4181,14199,55
1303,2808,1514
3545,118,4301
36297,11,10706
32899,2118,589
1070,103,4430
31715,1676,1483
465,2299,1781
167,2191,1199
10638,2127,1742
7793,16,8417
36468,114,4874
23137,57,5701
34239,34,6992
33080,1311,1575
33213,5,10938
21085,3589,573
10324,102,6561
34888,47,7733
6234,471,3962
35220,515,1830
1055,702,2698
19367,1410,1676
6684,23,9609
33447,313,3518
33975,36,7644
5231,1079,1181
2708,1,12154
34863,171,3170
10155,3405,691
34028,165,3732
35559,165,4886
31418,430,2541
28,1696,1301
30390,10,8192
2124,1751,2284
33979,101,5764
1474,208,5235
14127,223,4166
6500,3879,397
32195,13,9141
1931,152,5584
14093,805,2248
5902,1061,2545
31933,2781,432
462,2801,1535
4211,9,8573
1526,3074,1363
12175,3240,696
1722,2384,1328
8516,6711,298
26359,212,4208
6774,1117,1458
22377,222,5280
942,406,3315
16001,5135,585
6397,7,10152
4890,177,7148
36010,44,6670
6031,14,8638
35860,1584,654
8110,388,3554
19029,311,3881
23619,678,2648
12355,7831,148
811,1154,2699
1097,305,4195
367,100,7017
6718,19,8240
27681,1,12897
34720,1,13412
31618,51,8087
7748,1350,2061
3630,5,10284
5028,1394,1835
22699,161,4263
35612,3,12274
20479,818,2516
25157,5588,162
1397,573,2747
9346,21,7007
212,409,3654
1107,696,2769
35676,295,4203
8609,413,3665
20449,1782,1466
28179,227,5037
6201,4532,645
15085,3546,467
8041,2,10192
2112,1285,2000
36220,831,1377
25073,1,12036
16472,206,4430
3469,381,4458
26395,606,3185
508,1203,1917
134,4019,655
20651,1386,1736
6408,1911,1556
9253,15782,8
928,220,5697
470,647,2882
30850,40,7205
32869,303,3200
6635,152,4974
32555,496,2303
5597,963,1898
35522,102,6032
6095,18,9514
34613,17,8112
5118,3295,1051
22125,1037,2265
27775,5203,155
324,383,2629
32871,200,3408
22693,52,5010
2834,72,6282
1727,880,2305
1384,560,3293
3086,1229,2621
21809,818,1689
970,92,5567
759,3947,679
372,3320,1091
12267,13,8686
7523,8,10539
11491,1685,1930
1822,148,4871
36548,1193,973
2221,169,4963
14145,313,3643
37590,27,6849
32191,192,5093
114,2130,992
29163,832,1986
21073,231,4390
2545,65,8392
23327,1902,992
868,816,3159
665,834,2103
203,319,4555
1241,1106,2822
12237,140,5387
943,188,4393
5013,13,10018
1530,7035,402
32826,69,7672
285,337,2950
3660,28,7703
31442,4000,275
6078,9,9703
1038,83,7209
23319,771,2274
253,783,2359
45,6791,240
419,1735,1707
83,514,3782
2923,3671,583
22789,7007,176
30702,169,5153
2516,130,5745
1427,160,5775
10406,176,6687
1251,871,1965
34914,1952,774
10390,148,4513
32944,2,9888
4586,56,8287
2398,1803,1852
11783,2149,1193
321,537,3556
32915,567,2358
10083,2381,1624
3570,28,7430
3114,7,9255
8456,522,3197
8339,453,3886
37000,8,10776
25867,1026,1350
34277,971,1846
31994,675,2856
21511,2645,591
2889,7778,512
2951,2042,1931
148,185,4359
27957,1738,1494
30663,17,9489
23289,8608,109
35254,24,8246
466,1288,2650
34877,2,11321
2222,220,4139
23643,5,12052
19775,3173,522
25597,2,12654
10067,7083,489
17729,4807,248
762,4834,964
3655,3362,681
451,3089,1352
839,80,7379
18617,979,1626
4074,29,8661
33950,478,2870
32916,1,13260
8250,75,6984
3323,948,2779
13601,11476,29
6604,49,5839
34543,404,2183
473,236,4767
22359,273,2732
35251,208,2494
36039,453,1926
16904,2983,600
8449,1978,1306
34374,180,4017
8426,1714,1141
23673,4438,357
1157,1045,2180
12921,195,5800
7770,152,5271
11209,1055,2030
12729,3378,641
36586,2,13574
9750,2482,923
34902,3543,311
29687,11,8934
29865,30,6799
18419,152,6115
4306,44,7136
31289,692,2795
20971,448,2743
6462,38,8609
8425,6652,201
2603,543,3283
953,1789,1491
31861,42,5816
13759,9835,65
27969,346,2938
10832,153,5423
196,3576,1226
14183,3,10431
30543,79,6087
1186,195,4647
8065,4,10567
10595,7,7304
31995,116,5834
5673,28,8065
3701,1296,1072
26019,112,5070
2709,76,6788
6657,181,5735
15823,4,11590
815,941,2989
20801,261,3589
34812,103,5389
3561,32,7842
